; PROGRAM; IDENT; DO; ENDPROGRAM; GLOBAL; SEMICOLON; CHANGEMODE; COLON; TYPE; FUN; RETURNS; ENDFUN; LOCAL; LPAREN; RPAREN; COMMA; MECHMODE; SKIP; BECOMES; IF; THEN; ENDIF; ELSE; WHILE; ENDWHILE; LITERAL; DEBUGIN; DEBUGOUT; CALL; BOOLOPR; RELOPR; ADDOPR; MULTOPR; CASTSTOI; CASTSTOL; CASTLTOS; CASTLTOI; CASTITOS; CASTITOL; INIT; NOT; PROC; null
program; PROGRAM IDENT <globalNTS> DO <cpsCmd> ENDPROGRAM; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
globalNTS; ; ; ɛ; ; GLOBAL <cpsDecl>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
cpsDeclNTS; ; ; ɛ; ; ; SEMICOLON <decl> <cpsDeclNTS>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
cpsDecl; ; <decl> <cpsDeclNTS>; ; ; ; ; <decl> <cpsDeclNTS>; ; ; <decl> <cpsDeclNTS>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; <decl> <cpsDeclNTS>; 
decl; ; <stoDecl>; ; ; ; ; <stoDecl>; ; ; <funDecl>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; <procDecl>; 
stoDecl; ; <typedIdent>; ; ; ; ; CHANGEMODE <typedIdent>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
typedIdent; ; IDENT COLON TYPE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
funDecl; ; ; ; ; ; ; ; ; ; FUN IDENT <paramList> RETURNS <stoDecl> <funDeclNTS> DO <cpsCmd> ENDFUN; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
funDeclNTS; ; ; ɛ; ; ; ; ; ; ; ; ; ; LOCAL <cpsStoDecl>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
paramList; ; ; ; ; ; ; ; ; ; ; ; ; ; LPAREN <paramListNTS> RPAREN; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
paramListNTS; ; <param> <paramNTS>; ; ; ; ; <param> <paramNTS>; ; ; ; ; ; ; ; ɛ; ; <param> <paramNTS>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
param; ; <changeModeNTS> <mechModeNTS> <typedIdent>; ; ; ; ; <changeModeNTS> <mechModeNTS> <typedIdent>; ; ; ; ; ; ; ; ; ; <changeModeNTS> <mechModeNTS> <typedIdent>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
paramNTS; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ɛ; COMMA <param> <paramNTS>; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
changeModeNTS; ; ɛ; ; ; ; ; CHANGEMODE; ; ; ; ; ; ; ; ; ; ɛ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
mechModeNTS; ; ɛ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; MECHMODE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
